unit_id,unit_name,DName2016,median,q25,q75,n
Luwero/Butuntumula,Butuntumula,Luwero,,140000.0,140000.0,1.0
Luwero/Kamira,Kamira,Luwero,,,,
Mukono/Mpatta,Mpatta,Mukono,,,,
Wakiso/Katabi  Town Council,Katabi  Town Council,Wakiso,6583333.333333334,4725000.0,9725000.0,72.0
Luwero/Luwero Town Council,Luwero Town Council,Luwero,,,,
Buikwe/Buikwe Town Council,Buikwe Town Council,Buikwe,,,,
Buikwe/Kawolo Division,Kawolo Division,Buikwe,,,,
Buikwe/Central Division,Central Division,Buikwe,,11764.70588235294,300000.0,5.0
Buikwe/Najjembe Division,Najjembe Division,Buikwe,,236352.93333333332,459058.79999999993,2.0
Buikwe/Njeru Division,Njeru Division,Buikwe,,,,
Buikwe/Nkokonjeru Town Council,Nkokonjeru Town Council,Buikwe,,,,
Mpigi/Buwama,Buwama,Mpigi,,,,
Wakiso/Bussi,Bussi,Wakiso,,,,
Mpigi/Kituntu,Kituntu,Mpigi,,,,
Mpigi/Nkozi,Nkozi,Mpigi,,,,
Mukono/Mpunge,Mpunge,Mukono,,,,
Mukono/Nama,Nama,Mukono,,,,
Mukono/Ntenjeru,Ntenjeru,Mukono,,,,
Mukono/Central Division,Central Division,Mukono,1834760.808688284,780000.0,3287878.7878787876,224.0
Mukono/Kasawo,Kasawo,Mukono,,109.375,109.375,1.0
Wakiso/Nansana Division,Nansana Division,Wakiso,,4065603.5941701513,6425105.6800724715,6.0
Wakiso/Bunamwaya Division,Bunamwaya Division,Wakiso,,17125000.0,22666666.666666664,19.0
Wakiso/Masajja Division,Masajja Division,Wakiso,6326923.076923077,4308669.554839109,9625000.0,32.0
Wakiso/Bweyogerere Division,Bweyogerere Division,Wakiso,8733333.333333332,5195833.333333333,28595779.220779218,28.0
Wakiso/Namugongo Division,Namugongo Division,Wakiso,9000000.0,5217391.304347826,13000000.0,209.0
Mukono/Koome Island,Koome Island,Mukono,,,,
Kampala/Kawempe Division,Kawempe Division,Kampala,15666666.666666668,9700000.0,22731638.418079093,98.0
Kampala/Nakawa Division,Nakawa Division,Kampala,19801008.66451733,14666666.666666666,30000000.0,260.0
Kampala/Makindye Division,Makindye Division,Kampala,30000000.0,20000000.0,38533834.58646616,95.0
Kampala/Rubaga Division,Rubaga Division,Kampala,20606060.606060605,11352167.162667658,27500000.0,22.0
Kampala/Central Division,Central Division,Kampala,4356003.85089659,1742401.5403586363,52925619.83471075,123.0
